filename,slug,aesthetic_category,order,width,height,description,dominant_token,dominant_css3_name,palette_tokens,palette_css3_names,source
retro-vintage__reflections-from-memoria__00.jpeg,reflections-from-memoria,retro-vintage,00,1000,714,"Bold abstract composition of golden textured shapes (spirals, blobs, and triangles) arranged like an exploded diagram on a saturated blue field.",#001fc3,mediumblue,#001fc3 #0f20a5 #ac921c #675618 #1f1b0e #cdb11d,mediumblue; darkblue; darkgoldenrod; darkolivegreen; black; goldenrod,https://protocolized.summerofprotocols.com/p/reflections-from-memoria
retro-vintage__risky-autonomy-vs-walled-gardens__00.png,risky-autonomy-vs-walled-gardens,retro-vintage,00,2048,2048,"Retro sci-fi painting of a glowing UFO suspending beams of light over a walled garden at night under a starry sky, with small figures below.",#1b1816,black,#1b1816 #5d5337 #9f9253 #95654b #6b6945 #533027,black; darkolivegreen; peru; sienna; darkolivegreen; darkolivegreen,https://protocolized.summerofprotocols.com/p/risky-autonomy-vs-walled-gardens
retro-vintage__songs-of-hydropolia__00.jpeg,songs-of-hydropolia,retro-vintage,00,1000,714,"Retro-futurist sci-fi illustration of a coastal industrial complex with a cutaway showing pipes and machinery, rendered in teal-sky and golden tones.",#5dad94,cadetblue,#5dad94 #d8b264 #a89863 #a1b78c #2e2022 #ddcd93,cadetblue; darkkhaki; darkkhaki; darkseagreen; darkslategray; burlywood,https://protocolized.summerofprotocols.com/p/songs-of-hydropolia
retro-vintage__sop-2025-accelerating-order.png,sop-2025-accelerating-order,retro-vintage,,2048,2048,"Surreal painted balance scale with an organic, perforated bone-white and yellow armature, two hanging pans, set in a pastel landscape with trees and a teal sky. Retro sci-fi illustration mood.",#20959b,lightseagreen,#20959b #ded9a3 #19778d #5bb2a4 #a0caa5 #f4eacc,lightseagreen; palegoldenrod; teal; cadetblue; darkseagreen; blanchedalmond,https://protocolized.summerofprotocols.com/p/sop-2025-accelerating-order
retro-vintage__strange-new-rules.png,strange-new-rules,retro-vintage,,2048,2048,"A retro-futurist illustration of a towering night city with thin spires beneath a large glowing moon emitting vertical light beams, with small figures walking past purple foliage. The painted mid-century sci-fi aesthetic gives a nostalgic, monumental mood.",#181e24,black,#181e24 #9d642c #4e3124 #634c2e #d5ad5b #5a6354,black; sienna; darkolivegreen; darkolivegreen; darkkhaki; dimgray,https://protocolized.summerofprotocols.com/p/strange-new-rules
retro-vintage__the-40-hour-work-week.png,the-40-hour-work-week,retro-vintage,,2048,2048,"A retro-futurist split painting showing a white gothic spire tower and gondola in an outdoor plaza on the left, and a busy orange-toned office interior with men at desks and large spherical machines on the right.",#666669,dimgray,#666669 #997058 #a89a8d #a68a71 #a15630 #a3320f,dimgray; gray; rosybrown; rosybrown; sienna; brown,https://protocolized.summerofprotocols.com/p/the-40-hour-work-week
retro-vintage__the-big-man__00.png,the-big-man,retro-vintage,00,1200,630,"Posterized, screenprint-style illustration of a pyramidal stack of pale rounded stones or seals against a muted blue-grey ground, with a worn vintage texture.",#a9b4b2,darkgray,#a9b4b2 #f3f3c7 #443423 #d8d5b0 #999668 #706653,darkgray; lightgoldenrodyellow; darkslategray; palegoldenrod; gray; dimgray,https://protocolized.summerofprotocols.com/p/the-big-man
retro-vintage__the-big-man__05.png,the-big-man,retro-vintage,05,1024,1024,"Posterized, distressed-texture illustration of a full triangular pyramid built of pale rounded carved stones on a muted blue-grey background.",#a9b3b1,darkgray,#a9b3b1 #f4f3c8 #443423 #d7d5af #95926e #6b6657,darkgray; lightgoldenrodyellow; darkslategray; palegoldenrod; gray; dimgray,https://protocolized.summerofprotocols.com/p/the-big-man
retro-vintage__the-last-archive__00.png,the-last-archive,retro-vintage,00,2048,2048,Retro-futurist collage of a circuit-etched moon-orb over a coastal city with light trails and a figure in orange; vintage sci-fi book-plate style.,#595f59,dimgray,#595f59 #94a48d #2b3446 #e7dca5 #a39668 #384752,dimgray; darkseagreen; darkslategray; palegoldenrod; darkkhaki; darkslategray,https://protocolized.summerofprotocols.com/p/the-last-archive
retro-vintage__the-last-archive__09.jpeg,the-last-archive,retro-vintage,09,1000,714,"An ovoid pod-bed capsule embedded in a wall with bookshelf, lamp and a small blue tree; stylized retro-futurist interior painting.",#63745f,dimgray,#63745f #212929 #c5b994 #74876b #91926c #aba989,dimgray; darkslategray; tan; gray; gray; rosybrown,https://protocolized.summerofprotocols.com/p/the-last-archive
retro-vintage__the-view-from-the-bridge__05.png,the-view-from-the-bridge,retro-vintage,05,896,896,"A small orange-and-green halftone illustration of a suspension bridge over stylized coastline forms, matching a retro print aesthetic.",#ac7525,darkgoldenrod,#ac7525 #fe8939 #67631c #fb9d57 #81883a #fbd2a3,darkgoldenrod; coral; darkolivegreen; sandybrown; olivedrab; navajowhite,https://protocolized.summerofprotocols.com/p/the-view-from-the-bridge
retro-vintage__time-to-die__00.png,time-to-die,retro-vintage,00,2048,2048,A retro sci-fi painting of a glowing golden flying saucer over a starry night sky with a perched bird and a hawk in flight below.,#1f221d,black,#1f221d #355349 #2f443a #516250 #5e4c2d #553224,black; darkslategray; darkslategray; darkolivegreen; darkolivegreen; darkolivegreen,https://protocolized.summerofprotocols.com/p/time-to-die
retro-vintage__woods.png,woods,retro-vintage,,2048,2048,"Retro sci-fi illustration of a large UFO and several smaller flying saucers descending through a misty autumnal pine forest bathed in warm golden light. Nostalgic, atmospheric vintage spaceart mood.",#9c634d,sienna,#9c634d #d1a36b #f6cf72 #a35533 #74484f #b78961,sienna; darkkhaki; khaki; sienna; dimgray; peru,https://protocolized.summerofprotocols.com/p/woods
surreal-collage__2026-protocol-symposium-new-nature.png,2026-protocol-symposium-new-nature,surreal-collage,,1200,630,"A white star or snowflake-like burst speckled with black dots sits centered over a dark, mottled green-and-purple organic field. The composition is non-representational with a glowing neon-edged central form against a textured background.",#182219,black,#182219 #215628 #556459 #2c6351 #f5f6f5 #588e66,black; darkslategray; dimgray; darkslategray; whitesmoke; dimgray,https://protocolized.summerofprotocols.com/p/2026-protocol-symposium-new-nature
surreal-collage__3-protocols-for-articulating-civilizational__00.png,3-protocols-for-articulating-civilizational,surreal-collage,00,1000,714,"A small surreal painting of a glowing molten-orange bulb or jellyfish form against a dark teal field, with tiny ringed planet motifs on thin wires.",#38484c,darkslategray,#38484c #465e61 #333d41 #323b3e #f5efcd #ebe0a6,darkslategray; darkslategray; darkslategray; darkslategray; blanchedalmond; palegoldenrod,https://protocolized.summerofprotocols.com/p/3-protocols-for-articulating-civilizational
surreal-collage__a-primordial-computing-soup__00.png,a-primordial-computing-soup,surreal-collage,00,1129,1129,Abstract generative texture of blue and grey mottled fluid behind a white notched ring or gear outline.,#6b6b9b,slategray,#6b6b9b #93939f #665e63 #6060d8 #fcfcfc #0c0c0d,slategray; lightslategray; dimgray; slateblue; snow; black,https://protocolized.summerofprotocols.com/p/a-primordial-computing-soup
surreal-collage__caduceus-city.png,caduceus-city,surreal-collage,,896,1120,"A chaotic glitch-like composition of melting purple, yellow, pink, and gray organic forms with faint mechanical and architectural fragments. Distorted, dreamlike, and disorienting.",#19171a,black,#19171a #575358 #6b61a9 #705dd8 #8a76d1 #eacadd,black; dimgray; slateblue; slateblue; mediumpurple; thistle,https://protocolized.summerofprotocols.com/p/caduceus-city
surreal-collage__have-your-factory-call-my-factory__00.png,have-your-factory-call-my-factory,surreal-collage,00,1129,1129,"Surreal close-up of a halved fruit with purple seeds, encircled by a white mechanical gear-like ring; macro botanical photo collaged with a graphic cog outline.",#ac9696,rosybrown,#ac9696 #220e13 #c7b59a #fcfcfb #ab926f #6f545e,rosybrown; black; tan; snow; rosybrown; dimgray,https://protocolized.summerofprotocols.com/p/have-your-factory-call-my-factory
surreal-collage__introducing-the-protocol-institute__12.png,introducing-the-protocol-institute,surreal-collage,12,1024,1024,An embossed steel-blue dharma-wheel emblem set against a rippled marbled blue-and-white background.,#5d646a,dimgray,#5d646a #939ca0 #758694 #637788 #2d6097 #dbdeda,dimgray; darkgray; lightslategray; slategray; darkslateblue; gainsboro,https://protocolized.summerofprotocols.com/p/introducing-the-protocol-institute
surreal-collage__inventing-new-nature__00.png,inventing-new-nature,surreal-collage,00,1024,1024,A surreal emblem with an iridescent human brain centered inside a white gear or aperture ring over a leafy backdrop.,#282726,darkslategray,#282726 #ececec #645f56 #9fa39e #909072 #97b0c9,darkslategray; whitesmoke; dimgray; darkgray; gray; darkgray,https://protocolized.summerofprotocols.com/p/inventing-new-nature
surreal-collage__irrigation-by-protocol-when-vineyards.png,irrigation-by-protocol-when-vineyards,surreal-collage,,1024,1024,"An aerial agricultural landscape of fields and irrigation patterns rendered with a heavy embossed, ridged filter that turns it into raised relief-like texture. Green-toned and abstracted.",#5d6b54,dimgray,#5d6b54 #9da696 #192b18 #728b65 #4e612f #334c26,dimgray; darkgray; black; gray; darkolivegreen; darkslategray,https://protocolized.summerofprotocols.com/p/irrigation-by-protocol-when-vineyards
surreal-collage__last-mile-optimism.png,last-mile-optimism,surreal-collage,,1024,1024,"A grey abstract composition resembling two stylized rock faces or torso forms with faint contour-line landscape sketches, split by a central green glowing band and pink haze. Muted monochrome with neon accents and an ambiguous, eerie mood.",#a1a0a0,darkgray,#a1a0a0 #656464 #0c0b0b #d2d1d1 #cda8a6 #90d16b,darkgray; dimgray; black; lightgray; tan; darkseagreen,https://protocolized.summerofprotocols.com/p/last-mile-optimism
surreal-collage__last-mile-optimism__00.png,last-mile-optimism,surreal-collage,00,1024,630,Sketchy line-art landscape collage of buildings and terrain in muted tones with a glowing red-green abstract block at center.,#a3a1a0,darkgray,#a3a1a0 #696767 #cda8a6 #d4d4d4 #171313 #91d06b,darkgray; dimgray; tan; lightgray; black; darkseagreen,https://protocolized.summerofprotocols.com/p/last-mile-optimism
surreal-collage__maintaining-everything-that-matters.png,maintaining-everything-that-matters,surreal-collage,,1536,1536,"Digitally distorted composition over an embossed gray texture, combining a navy drilling-tower outline, a grid of symbolic glyphs, and a bright cyan disc. Splattered magenta and pastel noise gives a glitched, map-like mood.",#a5a2a5,darkgray,#a5a2a5 #05dadc #5a6a92 #6da1a7 #24588e #a49c6a,darkgray; darkturquoise; slategray; cadetblue; darkslateblue; darkkhaki,https://protocolized.summerofprotocols.com/p/maintaining-everything-that-matters
surreal-collage__mr-cork-and-the-red-bus.png,mr-cork-and-the-red-bus,surreal-collage,,1000,1000,"A red-toned montage of an aged human hand reaching toward a phone or door with a bright lens flare, layered over a ghosted red double-decker bus. Atmospheric, moody, and dreamlike.",#601415,maroon,#601415 #931718 #381c1d #665b60 #9c5356 #d95757,maroon; brown; black; dimgray; sienna; indianred,https://protocolized.summerofprotocols.com/p/mr-cork-and-the-red-bus
surreal-collage__necrophoresis__00.png,necrophoresis,surreal-collage,00,1000,714,"Surreal washed-out collage of an elephant standing over a prone human figure on a savannah, with dark planetary spheres floating in the sky.",#25292c,darkslategray,#25292c #a4ab95 #cecdb1 #5e5a57 #234d52 #9d9372,darkslategray; darkgray; silver; dimgray; darkslategray; gray,https://protocolized.summerofprotocols.com/p/necrophoresis
surreal-collage__tension-landscapes__00.png,tension-landscapes,surreal-collage,00,2048,2048,"Retro-futurist collage landscape of a control tower and jagged peaks beneath a large yellow radiant sun with floating planetary orbs in yellow, pink and black.",#f9ecc6,blanchedalmond,#f9ecc6 #f4e3a9 #f4d45c #201b1b #f6cf31 #e4ac51,blanchedalmond; palegoldenrod; sandybrown; black; gold; sandybrown,https://protocolized.summerofprotocols.com/p/tension-landscapes
surreal-collage__the-double-key__00.png,the-double-key,surreal-collage,00,1000,714,"Painterly nocturnal cityscape glimpsed past a green wall bearing a glowing red lens or eye, with rain-lit skyscrapers in cool blue-green tones.",#516f5f,dimgray,#516f5f #394f55 #313531 #98a18d #687283 #8f9772,dimgray; darkslategray; darkslategray; darkseagreen; slategray; gray,https://protocolized.summerofprotocols.com/p/the-double-key
surreal-collage__the-fabric-and-the-brain.png,the-fabric-and-the-brain,surreal-collage,,1129,1129,"A square composition of a white circular ring with notched edges centered over an aerial-style field of dense green, yellow, and orange foliage on a near-black ground. Symmetrical, pattern-like, and non-representational in impression.",#242422,black,#242422 #5a5f50 #fcfcfc #535533 #70905c #8e9761,black; dimgray; snow; darkolivegreen; dimgray; gray,https://protocolized.summerofprotocols.com/p/the-fabric-and-the-brain
surreal-collage__the-headless-empire__06.png,the-headless-empire,surreal-collage,06,1000,1000,Surreal glitch collage of two robed faceless figures formed from dense circuitry and digital noise against pastel pink and blue.,#dbdbda,gainsboro,#dbdbda #9fa09e #abd5df #dbaea8 #0d0e0e #6f999f,gainsboro; darkgray; lightblue; tan; black; cadetblue,https://protocolized.summerofprotocols.com/p/the-headless-empire
surreal-collage__the-partial__00.jpeg,the-partial,surreal-collage,00,896,640,A translucent ribbed glass starfish-like form with an iridescent central orb on a deep blue ground; a sculptural abstract render.,#4763a2,steelblue,#4763a2 #3e5ba1 #273268 #7088a9 #8ea0a8 #9eacc7,steelblue; darkslateblue; midnightblue; lightslategray; darkgray; darkgray,https://protocolized.summerofprotocols.com/p/the-partial
surreal-collage__the-reverie-loop__06.gif,the-reverie-loop,surreal-collage,06,472,472,"A glowing luminous orb resting on a stepped surface in a dim pink-and-dark-green interior, rendered in soft posterized digital art.",#061c14,black,#061c14 #decc68 #9c6267 #c75b72 #f7ee8d #b19c5f,black; burlywood; gray; indianred; khaki; darkkhaki,https://protocolized.summerofprotocols.com/p/the-reverie-loop
surreal-collage__theorizing-protocolization-ii-atomic__00.png,theorizing-protocolization-ii-atomic,surreal-collage,00,1200,630,"An abstract pink, teal, and brown composition of a textured central disc surrounded by swirling tendril-like forms, resembling a manipulated micrograph.",#656369,dimgray,#656369 #a88eb1 #d2d5d9 #b5a5c8 #956f9d #926665,dimgray; darkgray; lightgray; silver; lightslategray; dimgray,https://protocolized.summerofprotocols.com/p/theorizing-protocolization-ii-atomic
surreal-collage__theorizing-protocolization-ii-atomic__06.png,theorizing-protocolization-ii-atomic,surreal-collage,06,1024,1024,An abstract generative composition with a maze-textured central orb encircled by purple tendrils on a pale blue ground.,#c9d3d5,lightgray,#c9d3d5 #a68fb0 #67626b #b3a8c6 #967693 #90656f,lightgray; darkgray; dimgray; silver; gray; gray,https://protocolized.summerofprotocols.com/p/theorizing-protocolization-ii-atomic
technical-schematic__a-government-guide-to-open-protocols__05.png,a-government-guide-to-open-protocols,technical-schematic,05,1200,1200,Generative abstract render of glowing orange and black organic veins forming a loose framed lattice over a blue-to-orange gradient background.,#a9dae3,lightblue,#a9dae3 #0ba1dc #5994cd #504e59 #6d74ae #635433,lightblue; dodgerblue; cornflowerblue; darkslategray; lightslategray; darkolivegreen,https://protocolized.summerofprotocols.com/p/a-government-guide-to-open-protocols
technical-schematic__a-very-short-introduction-to-memory__00.png,a-very-short-introduction-to-memory,technical-schematic,00,1000,714,"Isometric 3D render of pale minimalist geometric forms (columns, spheres on stalks, slabs) over yellow ground shapes.",#f1f2e9,linen,#f1f2e9 #f1f589 #f2f67c #aeafaa #f4996f #a8a474,linen; khaki; khaki; darkgray; darksalmon; darkkhaki,https://protocolized.summerofprotocols.com/p/a-very-short-introduction-to-memory
technical-schematic__a-very-short-introduction-to-memory__04.png,a-very-short-introduction-to-memory,technical-schematic,04,1000,1000,"Isometric 3D render of minimalist white geometric objects and orange spheres on yellow planes, with a large red 44 numeral lower-left.",#f2f3ec,whitesmoke,#f2f3ec #f3f788 #f3f77c #adaeaa #f59a70 #a2a074,whitesmoke; khaki; khaki; darkgray; lightsalmon; darkkhaki,https://protocolized.summerofprotocols.com/p/a-very-short-introduction-to-memory
technical-schematic__bridge-atlas-ep-1-entry-points__06.png,bridge-atlas-ep-1-entry-points,technical-schematic,06,1000,1000,"Two stylized line-art arches, one green and one orange, rendered as intricate ornamental schematics on an olive-brown ground.",#443505,darkolivegreen,#443505 #999664 #635826 #d5d6a2 #b1ab8a #3d2e00,darkolivegreen; gray; darkolivegreen; palegoldenrod; rosybrown; black,https://protocolized.summerofprotocols.com/p/bridge-atlas-ep-1-entry-points
technical-schematic__bridge-atlas-episode-2-paradigms.png,bridge-atlas-episode-2-paradigms,technical-schematic,,1384,1384,"An arch or bridge form rendered as a textured band of cellular orange, cream, and green patterns on a flat olive-brown background. Non-representational and ornamental in style.",#463605,darkolivegreen,#463605 #665a1e #aba551 #e4e39f #8f651d #989137,darkolivegreen; darkolivegreen; darkkhaki; palegoldenrod; sienna; olivedrab,https://protocolized.summerofprotocols.com/p/bridge-atlas-episode-2-paradigms
technical-schematic__bridge-atlas-episode-3-commons__00.png,bridge-atlas-episode-3-commons,technical-schematic,00,1000,1000,Orange line-art rendering of a suspension bridge whose deck dissolves into tangled organic filigree on a pale cream ground.,#fcf2d2,papayawhip,#fcf2d2 #f8d3a1 #f8ad64 #fd750d #fa8b2f #fabe81,papayawhip; navajowhite; sandybrown; darkorange; coral; burlywood,https://protocolized.summerofprotocols.com/p/bridge-atlas-episode-3-commons
technical-schematic__generative-ai-in-cultural-projects__00.png,generative-ai-in-cultural-projects,technical-schematic,00,1024,1024,Abstract generative composition of tangled wireframe loops and dotted mesh shapes with blue and lime circles on a cream ground.,#e6e3d7,gainsboro,#e6e3d7 #a6a49b #67655c #cfcdb4 #cdd905 #0255ce,gainsboro; darkgray; dimgray; silver; gold; royalblue,https://protocolized.summerofprotocols.com/p/generative-ai-in-cultural-projects
technical-schematic__mechanical-currents__05.png,mechanical-currents,technical-schematic,05,1000,1000,Cropped variant of stippled clouds over a wireframe stepped lattice structure on a pale blue background.,#b6d8ee,lightblue,#b6d8ee #ecebe3 #969f9f #626864 #0c4970 #6d8e9c,lightblue; beige; darkgray; dimgray; darkslategray; lightslategray,https://protocolized.summerofprotocols.com/p/mechanical-currents
technical-schematic__protocols-for-the-long-now__06.png,protocols-for-the-long-now,technical-schematic,06,1100,1100,Vertical crop of the dark abstract piece: glowing blue arcs over a starfield sphere atop a red etched mandala form.,#050003,black,#050003 #5a0004 #0000ed #ea0000 #9c0002 #03005e,black; maroon; blue; red; darkred; navy,https://protocolized.summerofprotocols.com/p/protocols-for-the-long-now
technical-schematic__sigp4b-update-4-drift-stacking__00.jpeg,sigp4b-update-4-drift-stacking,technical-schematic,00,1024,1024,Surreal pen-and-ink illustration of two spheres suspended on a rigid armature above stacked paper-like slabs on a pale green ground.,#c6e8c6,lightgray,#c6e8c6 #b8e1c4 #b4cfb6 #98ada7 #c4dcbb #16161e,lightgray; lightgray; silver; darkgray; silver; black,https://protocolized.summerofprotocols.com/p/sigp4b-update-4-drift-stacking
technical-schematic__the-faithful-channel__05.png,the-faithful-channel,technical-schematic,05,1024,1024,Vertical abstract generative artwork of an ornate detailed organic form surrounded by branching dark green tendrils on a pale ground.,#eee2ce,antiquewhite,#eee2ce #12252d #5a5a57 #27532e #a6a09a #ceada5,antiquewhite; black; dimgray; darkslategray; darkgray; tan,https://protocolized.summerofprotocols.com/p/the-faithful-channel
